N,std_mc_price,antith_mc_price,control_mc_price,strat_mc_price,midpoint_rule_qmc_price,std_mc_err,antith_mc_err,control_mc_err,strat_mc_err,std_mc_abs_err,antith_mc_abs_err,control_mc_abs_err,strat_mc_abs_err,midpoint_rule_qmc_abs_err
264509,10.462888520421275,10.46842871690424,10.444908889234908,10.45027666101514,10.45057011799227,0.056092139170309856,0.039811842488597204,0.021370480477977988,0.0012465017872389694,0.012304948235710711,0.0178451447186756,0.005674682950656873,0.00030691117042458416,1.345419329545905e-05
290960,10.436932230509631,10.414275639832605,10.435652058281729,10.449985347706885,10.450571338564867,0.0535008596650714,0.037679091321487654,0.020370068675530116,0.0012813207214941826,0.013651341675933182,0.03630793235296004,0.014931513903835736,0.000598224478679299,1.2233620697799097e-05
320056,10.462500026487449,10.4772010196032,10.44547799255357,10.45106595574513,10.450572448348469,0.05104164852617092,0.03609720648514006,0.019397690824982796,0.0012711089986119325,0.011916454301884372,0.026617447417635276,0.005105579631994317,0.0004823835595662018,1.1123837095894373e-05
352062,10.44643013793438,10.449462345469083,10.463122379789263,10.450837582413412,10.450573457326554,0.048642455007762174,0.03427793052218949,0.01856537968169368,0.0011350411574474297,0.004153434251184862,0.001121226716481516,0.012538807603698743,0.00025401022784699023,1.0114859010812438e-05
387268,10.484709716652517,10.477396072213768,10.455997660589585,10.451306794012316,10.450574374679931,0.04649925885205243,0.032782190241290546,0.017681962615422646,0.0010024544883828722,0.034126144466952724,0.026812500028203345,0.005414088404020134,0.0007232218267514412,9.197505633551373e-06
425995,10.424085152297689,10.452067754235381,10.460271456975963,10.44960668166051,10.450575208739671,0.044143080370764816,0.031236786388768638,0.016861673032512424,0.0009486599482584224,0.026498419887875713,0.0014841820498165958,0.009687884790398726,0.0009768905250542304,8.363445893166954e-06
468595,10.402151643082567,10.440657439409284,10.465373386166464,10.451138092825088,10.450575967119002,0.04207068188435079,0.029781035758229758,0.01609619527578433,0.00104497933693541,0.048431929102997984,0.009926132776280738,0.01478981398089907,0.000554520639523659,7.6050665622773295e-06
515454,10.44252288928646,10.468231248546958,10.458191503867647,10.451391965773947,10.450576656632219,0.040160470898296975,0.028479557854436153,0.015333206094048684,0.0010120549997578642,0.008060682899104776,0.01764767636139375,0.007607931682082736,0.0008083935883824722,6.915553345976377e-06
567000,10.447699078507036,10.44084174075705,10.463155603198683,10.451025083432903,10.450577283582788,0.03835691093695936,0.026965054214692426,0.014620858454540066,0.0009765405732028456,0.0028844936785290543,0.009741831428515368,0.01257203101311788,0.0004415112473381555,6.288602776294283e-06
623700,10.477881928664619,10.45263632943951,10.449331823275111,10.45000003842351,10.450577853626747,0.03662504527762886,0.025809993002966408,0.013911224155458469,0.0007621356014151094,0.02729835647905432,0.002052757253945714,0.0012517489104535429,0.0005835337620538894,5.718558817591202e-06
686070,10.466393932084532,10.456089031018864,10.449755099532247,10.450286732071563,10.450578371967158,0.03486909038483333,0.02452612975993175,0.013270847761548524,0.0007625700165236112,0.01581035989896762,0.00550545883329967,0.0008284726533176467,0.00029684011400199495,5.200218406997692e-06
754677,10.44066595412792,10.43314944084787,10.44561910451837,10.450787792034765,10.45057884326403,0.03316054074717524,0.02347552005272009,0.012660897783657412,0.0008280414915729615,0.009917618057643907,0.017434131337694225,0.004964467667194938,0.00020421984920027114,4.7289215352464e-06
830145,10.447930001571097,10.450578799580471,10.460362863925134,10.450530412505946,10.450579271820157,0.031646449356178295,0.02233903933825472,0.012079347276169005,0.0007551827556699299,0.002653570614468137,4.772605093350535e-06,0.009779291739569373,5.315967961827539e-05,4.300365407772233e-06
913159,10.474220219289778,10.452770975455982,10.444085402208128,10.45064418838907,10.45057966149593,0.030226211046937863,0.021396583325550292,0.011501608576416321,0.0007065234663583487,0.023636647104213537,0.002187403270417221,0.006498169977437129,6.061620350550356e-05,3.910689635233666e-06
1004475,10.444760780848258,10.448720314663541,10.454106848625912,10.450662067782597,10.450580015831509,0.0288007406205774,0.020308054060274895,0.010986883971547278,0.0006844365089457399,0.0058227913373070095,0.0018632575220234315,0.003523276440347445,7.849559703210218e-05,3.556354055689326e-06
1104923,10.448273622372799,10.452601599610828,10.446965240736775,10.451631249795222,10.450580338030456,0.02745594126916938,0.019442608320397806,0.010455651062336728,0.0006503225904757535,0.002309949812765666,0.002018027425263469,0.0036183314487896467,0.0010476776096570717,3.2341551090553367e-06
1215415,10.448130608253747,10.442277766368504,10.455695715460843,10.45014465370327,10.45058063101791,0.026181800288862248,0.018465844535649874,0.009978349075472846,0.000587798766588578,0.00245296393181782,0.008305805817061085,0.005112143275278314,0.0004389184822954917,2.9411676543134035e-06
1336956,10.45160329898108,10.45420660675864,10.445867224120764,10.45092944047768,10.450580897438057,0.02493719094347523,0.0176231106391893,0.009501747867332983,0.0005986767774569991,0.001019726795515652,0.0036230345730761115,0.004716348064800258,0.00034586829211491477,2.674747507924735e-06
