N,std_mc_price,antith_mc_price,control_mc_price,strat_mc_price,midpoint_rule_qmc_price,std_mc_err,antith_mc_err,control_mc_err,strat_mc_err,std_mc_abs_err,antith_mc_abs_err,control_mc_abs_err,strat_mc_abs_err,midpoint_rule_qmc_abs_err
92709,5.593273259915273,5.559506377336529,5.55577110465263,5.573659107957556,5.573520190915508,0.05604603242814788,0.042781787383129787,0.03609827554304431,0.00047678348166954837,0.019747237658302552,0.01401964492044172,0.017754917604341003,0.00013308570058523372,5.83134146303621e-06
101979,5.555192863595324,5.58765309678998,5.573747072624388,5.573616111946459,5.573520761910326,0.053048112287543976,0.040754856024251766,0.03453516034921477,0.0005676677040847628,0.018333158661646642,0.01412707453300932,0.00022105036741759676,9.008968948798213e-05,5.260346644497815e-06
112177,5.5925073873817,5.564644041962928,5.538634633181825,5.573730629865239,5.573521276632914,0.05075669046359051,0.039038195174995724,0.03277335303168591,0.0005531568466701553,0.0189813651247297,0.008881980294042968,0.03489138907514544,0.00020460760826868096,4.745624056390341e-06
123395,5.559250623417802,5.5586812998004325,5.5673260006356,5.574068755883782,5.573521740884979,0.04840066199824114,0.03699872562484723,0.031344552172098715,0.0005447231601456396,0.014275398839168396,0.014844722456538229,0.006200021621371121,0.0005427336268111205,4.281371992043148e-06
135735,5.554478339476991,5.5667839220744035,5.6170703319527675,5.573587725472884,5.573522159369925,0.04588351867735559,0.03524088249473805,0.03001812865890308,0.0005073789775090677,0.019047682779979702,0.006742100182567157,0.04354430969579681,6.170321591358885e-05,3.862887045791297e-06
149308,5.562428568141022,5.578029053756638,5.569357512331611,5.573653081853611,5.573522536810211,0.04391151976314939,0.03356116447572566,0.028515646108217246,0.00044412936991429015,0.011097454115948757,0.004503031499667465,0.004168509925359665,0.0001270595966404997,3.4854467596545646e-06
164239,5.562364826675276,5.603533413957738,5.565352204770878,5.573421686497916,5.573522877475754,0.04190958366513181,0.03197625307647174,0.027145404758452608,0.00041370468336901695,0.011161195581694372,0.030007391700767272,0.00817381748609236,0.00010433575905466341,3.144781216768422e-06
180663,5.57936128142003,5.558161731652422,5.5602083616277085,5.5734394514411525,5.573523184560822,0.0399552540303141,0.030477522333987705,0.02584764514425749,0.0003853776917624516,0.00583525916305927,0.015364290604548358,0.013317660629262207,8.657081581819881e-05,2.8376961482834417e-06
198730,5.572867027318946,5.572699581358603,5.567627625049733,5.57364393066244,5.573523461605214,0.03798839045147413,0.02914920864102333,0.024606593073032732,0.00036815905238922697,0.0006589949380249038,0.0008264408983675864,0.005898397207237949,0.0001179084054694357,2.560651756411403e-06
218603,5.546344513784027,5.575472998522451,5.581359287762981,5.573211394662976,5.573523711504571,0.03621472940039245,0.027739874412752698,0.023547429680655894,0.0003343013613087225,0.027181508472943428,0.001946976265480238,0.007833265506010711,0.0003146275939949206,2.310752400092042e-06
240463,5.592808500382829,5.580078342687226,5.576621521911665,5.573348076481919,5.573523936876778,0.03466774887939175,0.02647630739271121,0.022410920194001323,0.00032011142608836336,0.019282478125858482,0.006552320430254888,0.003095499654694578,0.00017794577505192422,2.0853801929732185e-06
264509,5.580455283735195,5.571303864086835,5.592019158625778,5.573586155614949,5.573524140281402,0.032956093116875244,0.025182768863131654,0.02139362781782421,0.00031925113078419825,0.006929261478224369,0.00222215817013538,0.018493136368807228,6.0133357978386925e-05,1.8819755682741857e-06
290960,5.5849086574574835,5.576802316461354,5.5970445478297375,5.573629132794709,5.573524323710494,0.031468647054023614,0.024106148969325076,0.020396266290785968,0.0003320675386449792,0.011382635200512858,0.0032762942043831345,0.02351852557276679,0.00010311053773826018,1.698546476802676e-06
320056,5.575057031019775,5.56876368724136,5.572561711586688,5.573584920205264,5.573524489270103,0.030018560751276693,0.022940763944061266,0.01947038038460096,0.0002969241428120713,0.0015310087628046531,0.004762335015610297,0.0009643106702830195,5.88979482936125e-05,1.5329868681135395e-06
352062,5.595311240127507,5.582425727222181,5.5856193988256,5.5733548776671205,5.573524638609708,0.028689703078198552,0.02187065417178636,0.01854770390442664,0.00028084136097336306,0.021785217870536222,0.008899704965210198,0.012093376568629743,0.00017114458985023617,1.3836472625428087e-06
387268,5.583557525506652,5.593364738564455,5.581779018339456,5.5736072967467525,5.573524773358927,0.0272974373867215,0.020860239314961757,0.017663927317340507,0.0002612985951864703,0.010031503249681606,0.01983871630748446,0.00825299608248553,8.127448978179075e-05,1.248898043648694e-06
425995,5.584969757130827,5.568366759341064,5.563203381543293,5.57340598008926,5.573524894928689,0.026037047889225576,0.01991933778978673,0.0168403324980969,0.00024320123760141217,0.011443734873856748,0.005159262915906737,0.010322640713678055,0.00012004216771099863,1.1273282813917263e-06
468595,5.570712420480929,5.570538329429576,5.5684295409451625,5.573664939268976,5.573525004656521,0.024765653257879876,0.01897162076974607,0.01602518897727228,0.0002684241361222881,0.002813601776042063,0.002987692827394639,0.005096481311808176,0.0001389170120056349,1.0176004501261104e-06
515454,5.559990289933972,5.582764488261807,5.56350086918755,5.573521646790932,5.573525103655214,0.023565119260157488,0.018098590617141846,0.015285693370147733,0.00022946993433267828,0.013535732322998761,0.009238466004836354,0.010025153069420867,4.375466038375464e-06,9.186017564388749e-07
567000,5.546642471804343,5.579693250483316,5.581854743783421,5.573569979250601,5.573525192996795,0.02246490116544633,0.017273954086551076,0.014612361016576347,0.0002319615520616135,0.026883550452627247,0.006167228226344967,0.0083287215264507,4.395699362991223e-05,8.292601760828688e-07
623700,5.587401132796769,5.585780005941776,5.567779327324707,5.573374248656283,5.573525273615422,0.02150028201924399,0.01648719503643453,0.013901884891602203,0.00020830865478872336,0.013875110539798285,0.012253983684805014,0.005746694932263985,0.0001517736006872994,7.486415487534259e-07
686070,5.572006838079014,5.5775435268551945,5.5589018764810625,5.573683527173971,5.573525346392223,0.020483491351487117,0.01569649030894972,0.013263097992484651,0.0002215838688725062,0.0015191841779564896,0.004017504598223809,0.014624145775908204,0.00015750491700039504,6.7586474727932e-07
754677,5.569333782210573,5.580655456103365,5.568049345493896,5.573538595267493,5.573525412057925,0.0195081195761789,0.014958005752415618,0.01264751082767528,0.0001941261614659237,0.004192240046397622,0.007129433846394306,0.005476676763074728,1.2573010522487493e-05,6.101990459583817e-07
830145,5.5607957184950045,5.555289558745959,5.5784167400529485,5.573555196953404,5.573525471336545,0.018598437272064648,0.014230104209620025,0.01207259592607804,0.00019110000294293792,0.012730303761966155,0.018236463511011713,0.004890717795977828,2.9174696432932024e-05,5.509204257236888e-07
913159,5.581277768948663,5.573677747349631,5.56753066677739,5.573444457460121,5.573525524836004,0.017771473091068954,0.013606245115865792,0.01148814891634877,0.00017000485376956491,0.007751746691692318,0.00015172509266037082,0.005995355479580411,8.156479684995332e-05,4.974209666386287e-07
1004475,5.571899575740483,5.570987087012372,5.562335020070915,5.573626275913684,5.573525573125428,0.016923356168089987,0.01294824532334905,0.010955177117983743,0.00017471231125487692,0.0016264465164876896,0.0025389352445985836,0.011191002186055954,0.00010025365671317843,4.491315426236042e-07
